"Reporting Business Unit","Country of Origin","Campaign Name","Owner","Campaign Type","Category","Sub-Category","Primary Campaign Purpose","Num Sent in Campaign","Responses in Campaign","Created Date","Start Date","Product of Interest","Campaign Status","Budgeted Cost in Campaign (converted) Currency","Budgeted Cost in Campaign (converted)","Expected Revenue in Campaign (converted) Currency","Expected Revenue in Campaign (converted)","Opportunities in Campaign","Value Opportunities in Campaign Currency","Value Opportunities in Campaign","Won Opportunities in Campaign","Value Won Opportunities in Campaign Currency","Value Won Opportunities in Campaign","Actual Cost in Campaign (converted) Currency","Actual Cost in Campaign (converted)","ROI","Campaign ID","SF Campaign Id"
"LatAmENT","Colombia","LATAM_COL_BOG_ENT_SDWANTour_Nov_2023_SM","Camila Rodriguez","Seminar / Conference","Media","Social Media","Other","0","17","10-25-2023","11-23-2023","Security","In Progress","USD","0.00","USD","0.00","0","USD","0.00","0","USD","0.00","USD","0.00","","7014X0000022qH5QAI","7014X0000022qH5QAI"
"LatAmENT","Colombia","LATAM_COL_ENT_SEGURIDAD_VALLEDUPAR_NOV_2023","Camila Rodriguez","Seminar / Conference","Event","Physical","Other","50","8","11-15-2023","11-15-2023","Security","In Progress","USD","190.00","","","0","USD","0.00","0","USD","0.00","USD","190.00","-100.0000000000","7014X0000022qhpQAA","7014X0000022qhpQAA"
"LatAmENT","Colombia","LATAM_COL_PROD_WHPSEGURITYCM_OCT_2023","Camila Rodriguez","Email","Email","Offer Email","Other","0","0","10-30-2023","10-30-2023","Security","In Progress","USD","200.00","USD","1000.00","0","USD","0.00","0","USD","0.00","USD","200.00","-100.0000000000","7014X0000022qKsQAI","7014X0000022qKsQAI"
"LatAmENT","Colombia","LATAM_COL_BOG_INFO_LINAROZO_DIC_2023","Camila Rodriguez","Email","Email","","Other","0","2","11-29-2023","11-29-2023","PUSH TO TALK","In Progress","","","","","0","USD","0.00","0","USD","0.00","","","","7014X0000022qvTQAQ","7014X0000022qvTQAQ"
"LatAmENT","Colombia","LATAM_Col_Info_Xmas_Dec2023","Camila Rodriguez","Advertisement","Email","","Brand Awareness","0","18","12-14-2023","12-14-2023","PUSH TO TALK","In Progress","","","","","0","USD","0.00","0","USD","0.00","","","","7014X0000022r73QAA","7014X0000022r73QAA"
"LatAmSMB","Colombia","LATAM_COL_Prod_Awareness_Mid_Aug2023","Camila Rodriguez","Email","Email","Offer Email","Lead Generation","2485","4","09-05-2023","09-12-2023","Networking","Completed","USD","200.00","USD","2000.00","0","USD","0.00","0","USD","0.00","USD","200.00","-100.0000000000","7014X0000036WKHQA2","7014X0000036WKHQA2"
"LatAmSMB","Colombia","LATAM_COL_BAQ_SmartmovIlity_MID_JUN_2023","Camila Rodriguez","Seminar / Conference","Event","","Brand Awareness","50","17","06-12-2023","06-15-2023","It Solution; Networking - Wifi","Completed","USD","2000.00","USD","2500.00","21","USD","52655.01","14","USD","15434.04","USD","1721.00","796.8066561994","7014X000002efHLQAY","7014X000002efHLQAY"
"LatAmENT","Colombia","LATAM_COL_Event_IBMBogota_Ent_Jun2023","Camila Rodriguez","Seminar / Conference","Event","Physical","Other","120","0","06-12-2023","06-12-2023","It Solution - IaaS","Aborted","","","","","0","USD","0.00","0","USD","0.00","","","","7014X000002efHVQAY","7014X000002efHVQAY"
"LatAmSMB","Colombia","LATAM_COL_BOG_Fedetec_Mid_Sep_2023","Camila Rodriguez","Tradeshow","Event","Physical","Other","0","0","06-12-2023","09-20-2023","Security; It Solution; Networking","Completed","USD","400.00","USD","2000.00","0","USD","0.00","0","USD","0.00","USD","400.00","-100.0000000000","7014X000002efHfQAI","7014X000002efHfQAI"
"LatAmSMB","Colombia","LATAM_COL_BAQ_MIDB_SEGTOUR_JUN_2023","Camila Rodriguez","Seminar / Conference","Event","Physical","Lead Generation","60","23","06-12-2023","06-14-2023","Security","Completed","USD","2000.00","USD","2500.00","19","USD","470500.40","6","USD","143345.74","USD","1698.00","8342.0339824073","7014X000002efGbQAI","7014X000002efGbQAI"
"LatAmENT","Colombia","LATAM_COL_Prod_SmartSolutions_Ent_Sep2023","Camila Rodriguez","Email","Email","Offer Email","Other","0","1","09-19-2023","09-19-2023","PUSH TO TALK","In Progress","","","","","0","USD","0.00","0","USD","0.00","","","","7014X0000036WlIQAU","7014X0000036WlIQAU"
"LatAmENT","Colombia","LATAM_COL_BAQ_ECODIGMETAVERSO_JUN_2023","Camila Rodriguez","Seminar / Conference","Event","","Sales Tracking","125","37","05-29-2023","06-14-2023","PUSH TO TALK","Completed","USD","3600.00","USD","4000.00","0","USD","0.00","0","USD","0.00","USD","1582.00","-100.0000000000","7014X000002eeIMQAY","7014X000002eeIMQAY"
