"Name","Subject","Scheduled Date","Open Rate","Click To Open Ratio","Total Click Through Rate","Total Delivered","Total Opens","Total Clicks","Unique Clicks","Unique Click Through Rate","Unique Opens","Opt Out Rate","Unique Opt Outs","Spam Complaint Rate","Campaign Name"
"Send Email (13)","Descubra cómo Liberty Networks puede impulsar su negocio al siguiente nivel.","07-10-2024 10:02 AM","31.82","14.29","4.55","22","8","1","1","4.55","7","0.00","0","0.00","LATAM_COL_Prod_Acquisition_Ent_Jun2024"
"Send Email (3)","Una invitación para acelerar el crecimiento de su negocio.","07-05-2024 10:01 AM","24.86","13.95","7.03","1038","332","73","36","3.47","258","0.19","2","0.00","LATAM_COL_Prod_Acquisition_Ent_Jun2024"
"Send Email (11)","Evite problemas en el desempeño de su empresa","07-05-2024 07:01 AM","18.00","14.81","2.67","150","57","4","4","2.67","27","0.00","0","0.00","LATAM_Col_Prod_Xsell_Ent_Jun2024"
"Send Email (8)","¿Por qué gestionar las vulnerabilidades?","07-05-2024 07:01 AM","23.08","0.00","0.00","39","17","0","0","0.00","9","0.00","0","0.00","LATAM_Col_Prod_Xsell_Ent_Jun2024"
"Send Email (2)","Desafíos de visibilidad en su negocio","07-05-2024 07:01 AM","10.53","50.00","5.26","19","3","1","1","5.26","2","0.00","0","0.00","LATAM_Col_Prod_Xsell_Ent_Jun2024"
"Send Email (10)","Desafíos en la gestión de redes empresariales","07-01-2024 07:01 AM","32.21","20.90","9.62","208","108","20","14","6.73","67","0.46","1","0.00","LATAM_Col_Prod_Xsell_Ent_Jun2024"
"Send Email (7)","¿Cómo enfrentar los retos de ciberseguridad en su empresa?","07-01-2024 07:01 AM","36.84","23.81","14.04","57","45","8","5","8.77","21","0.00","0","0.00","LATAM_Col_Prod_Xsell_Ent_Jun2024"
"Send Email","¿Su negocio está listo para multicloud?","07-01-2024 07:01 AM","28.00","0.00","0.00","25","10","0","0","0.00","7","0.00","0","0.00","LATAM_Col_Prod_Xsell_Ent_Jun2024"
"Send Email (11)","La infraestructura que impulsa a su negocio hacia el futuro.","06-28-2024 10:01 AM","23.98","7.91","5.83","738","274","43","14","1.90","177","0.54","4","0.00","LATAM_COL_Prod_Acquisition_Ent_Jun2024"
"Send Email (7)","La base de la transformación digital en la educación.","06-28-2024 10:01 AM","19.35","25.00","4.84","62","15","3","3","4.84","12","3.17","2","0.00","LATAM_COL_Prod_Acquisition_Ent_Jun2024"
"Send Email (9)","La base de la transformación digital en la salud.","06-28-2024 10:01 AM","20.83","40.00","20.83","96","24","20","8","8.33","20","0.00","0","0.00","LATAM_COL_Prod_Acquisition_Ent_Jun2024"
"Send Email (2)","La base de la transformación digital en las finanzas.","06-28-2024 10:01 AM","21.32","6.90","1.47","136","31","2","2","1.47","29","0.00","0","0.00","LATAM_COL_Prod_Acquisition_Ent_Jun2024"
"Send Email (5)","La base de la transformación digital en el sector gobierno.","06-28-2024 10:01 AM","33.33","0.00","0.00","12","5","0","0","0.00","4","0.00","0","0.00","LATAM_COL_Prod_Acquisition_Ent_Jun2024"
"Send Email (10)","Descubra cómo Liberty Networks puede impulsar su negocio al siguiente nivel.","06-24-2024 10:01 AM","23.78","10.80","6.62","740","233","49","19","2.57","176","0.13","1","0.00","LATAM_COL_Prod_Acquisition_Ent_Jun2024"
