filename,timestamp,"Reporting Business Unit","Country of Origin","Campaign Name",Owner,"Campaign Type",Category,Sub-Category,"Primary Campaign Purpose","Num Sent in Campaign","Responses in Campaign","Created Date","Start Date","Product of Interest","Campaign Status","Budgeted Cost in Campaign (converted) Currency","Budgeted Cost in Campaign (converted)","Expected Revenue in Campaign (converted) Currency","Expected Revenue in Campaign (converted)","Opportunities in Campaign","Value Opportunities in Campaign Currency","Value Opportunities in Campaign","Won Opportunities in Campaign","Value Won Opportunities in Campaign Currency","Value Won Opportunities in Campaign","Actual Cost in Campaign (converted) Currency","Actual Cost in Campaign (converted)",ROI,"Campaign ID","SF Campaign Id"
file3.csv,4/4/24,LatAmENT,Colombia,LATAM_COL_BOG_ENT_SDWANTour_Nov_2023_SM,"Camila Rodriguez","Seminar / Conference",Media,"Social Media",Other,0,17,10/25/23,11/23/23,Security,"In Progress",USD,0,USD,0,0,USD,0,0,USD,0,USD,0,,7014X0000022qH5,7014X0000022qH5
file3.csv,4/4/24,LatAmENT,Colombia,LATAM_COL_ENT_SEGURIDAD_VALLEDUPAR_NOV_2023,"Camila Rodriguez","Seminar / Conference",Event,Physical,Other,50,8,11/15/23,11/15/23,Security,"In Progress",USD,190,,,0,USD,0,0,USD,0,USD,190,-100%,7014X0000022qhp,7014X0000022qhp
file3.csv,4/4/24,LatAmENT,Colombia,LATAM_COL_PROD_WHPSEGURITYCM_OCT_2023,"Camila Rodriguez",Email,Email,"Offer Email",Other,0,0,10/30/23,10/30/23,Security,"In Progress",USD,200,USD,1000,0,USD,0,0,USD,0,USD,200,-100%,7014X0000022qKs,7014X0000022qKs
file3.csv,4/4/24,LatAmENT,Colombia,LATAM_COL_BOG_INFO_LINAROZO_DIC_2023,"Camila Rodriguez",Email,Email,,Other,0,1,11/29/23,11/29/23,"PUSH TO TALK","In Progress",,,,,0,USD,0,0,USD,0,,,,7014X0000022qvT,7014X0000022qvT
file3.csv,4/4/24,LatAmENT,Colombia,LATAM_Col_Info_Xmas_Dec2023,"Camila Rodriguez",Advertisement,Email,,"Brand Awareness",0,12,12/14/23,12/14/23,"PUSH TO TALK","In Progress",,,,,0,USD,0,0,USD,0,,,,7014X0000022r73,7014X0000022r73
file3.csv,4/4/24,LatAmSMB,Colombia,LATAM_COL_Prod_Awareness_Mid_Aug2023,"Camila Rodriguez",Email,Email,"Offer Email","Lead Generation",2485,3,9/5/23,9/12/23,Networking,Completed,USD,200,USD,2000,0,USD,0,0,USD,0,USD,200,-100%,7014X0000036WKH,7014X0000036WKH
file3.csv,4/4/24,LatAmSMB,Colombia,LATAM_COL_BAQ_SmartmovIlity_MID_JUN_2023,"Camila Rodriguez","Seminar / Conference",Event,,"Brand Awareness",50,17,6/12/23,6/15/23,"It Solution; Networking - Wifi",Completed,USD,2000,USD,2500,21,USD,52655,14,USD,15434,USD,1721,797%,7014X000002efHL,7014X000002efHL
file3.csv,4/4/24,LatAmENT,Colombia,LATAM_COL_Event_IBMBogota_Ent_Jun2023,"Camila Rodriguez","Seminar / Conference",Event,Physical,Other,120,0,6/12/23,6/12/23,"It Solution - IaaS",Aborted,,,,,0,USD,0,0,USD,0,,,,7014X000002efHV,7014X000002efHV
file3.csv,4/4/24,LatAmSMB,Colombia,LATAM_COL_BOG_Fedetec_Mid_Sep_2023,"Camila Rodriguez",Tradeshow,Event,Physical,Other,0,0,6/12/23,9/20/23,"Security; It Solution; Networking",Completed,USD,400,USD,2000,0,USD,0,0,USD,0,USD,400,-100%,7014X000002efHf,7014X000002efHf
file3.csv,4/4/24,LatAmSMB,Colombia,LATAM_COL_BAQ_MIDB_SEGTOUR_JUN_2023,"Camila Rodriguez","Seminar / Conference",Event,Physical,"Lead Generation",60,24,6/12/23,6/14/23,Security,Completed,USD,2000,USD,2500,19,USD,475519,6,USD,148364,USD,1698,8638%,7014X000002efGb,7014X000002efGb
file3.csv,4/4/24,LatAmENT,Colombia,LATAM_COL_Prod_SmartSolutions_Ent_Sep2023,"Camila Rodriguez",Email,Email,"Offer Email",Other,0,1,9/19/23,9/19/23,"PUSH TO TALK","In Progress",,,,,0,USD,0,0,USD,0,,,,7014X0000036WlI,7014X0000036WlI
file3.csv,4/4/24,LatAmENT,Colombia,LATAM_COL_BAQ_ECODIGMETAVERSO_JUN_2023,"Camila Rodriguez","Seminar / Conference",Event,,"Sales Tracking",125,38,5/29/23,6/14/23,"PUSH TO TALK",Completed,USD,3600,USD,4000,0,USD,0,0,USD,0,USD,1582,-100%,7014X000002eeIM,7014X000002eeIM
file3.csv,4/4/24,LatAmENT,Colombia,LATAM_COL_BAQ_Ent_Probarranquilla_Jun_2023,"Camila Rodriguez",Tradeshow,Event,Physical,"Lead Generation",,0,9/18/23,6/1/23,Networking,Completed,USD,2383,USD,10000,1,USD,511,1,USD,511,USD,2383,-79%,7014X0000036Wk0,7014X0000036Wk0
file3.csv,4/4/24,LatAmENT,Colombia,LATAM_COL_BOG_EVENT_AssesmentMeet_2024,"Camila Rodriguez","Seminar / Conference",,,"Lead Generation",30,0,4/1/24,4/18/24,"Cloud IT; Networking & Connectivity; Security",Planned,USD,1700,,,0,USD,0,0,USD,0,,,,7014X000002exhd,7014X000002exhd
file3.csv,4/4/24,LatAmENT,Colombia,LATAM_COL_CAL_EVENT_VulnerabilityOTFCali_APR2024,"Camila Rodriguez","Seminar / Conference",,,"Lead Generation",25,0,4/1/24,4/25/24,Security,Planned,USD,1200,,,0,USD,0,0,USD,0,,,,7014X000002exhx,7014X000002exhx
file3.csv,4/4/24,LatAmENT,Colombia,"LATAM_COL_BAQ_EVENT_ProbarranquillaDonación _2024","Camila Rodriguez","Seminar / Conference",,,"Brand Awareness",25,0,4/1/24,4/5/24,None,Planned,USD,2500,,,0,USD,0,0,USD,0,,,,7014X000002exhY,7014X000002exhY
file3.csv,4/4/24,LatAmENT,Colombia,LATAM_COL_Costa_EVENT_BreakfastMeetings_2024,"Camila Rodriguez","Seminar / Conference",,,"Lead Generation",20,0,4/1/24,5/9/24,"Cloud IT; Networking & Connectivity; Security",Planned,USD,3000,,,0,USD,0,0,USD,0,,,,7014X000002exi2,7014X000002exi2
file3.csv,4/4/24,LatAmENT,Colombia,LATAM_COL_BUC_EVENT_ZFMeet_AGO2024,"Camila Rodriguez","Seminar / Conference",,,"Lead Generation",20,0,4/1/24,8/15/24,"Cloud IT; Networking & Connectivity; Security",Planned,USD,1200,,,0,USD,0,0,USD,0,,,,7014X000002exph,7014X000002exph
file3.csv,4/4/24,LatAmENT,Colombia,"LATAM_COL_Costa_EVENT_CFXMeetings _2024","Camila Rodriguez","Seminar / Conference",,,"Lead Generation",20,0,4/1/24,4/11/24,"Networking & Connectivity",Planned,USD,1500,,,0,USD,0,0,USD,0,,,,7014X000002exi7,7014X000002exi7
file3.csv,4/4/24,LatAmSMB,Colombia,LATAM_COL__EVENT_TomaEdificios_MID_2024,"Camila Rodriguez","Seminar / Conference",,,"Lead Generation",70,0,4/1/24,4/17/24,"Cloud IT; Networking & Connectivity; Security",Planned,USD,2000,,,0,USD,0,0,USD,0,,,,7014X000002exhT,7014X000002exhT
file3.csv,4/4/24,LatAmSMB,Colombia,LATAM_COL__EVENT_CFXMeetings_MID_2024,"Camila Rodriguez","Seminar / Conference",,,"Lead Generation",20,0,4/1/24,4/17/24,"Networking & Connectivity",Planned,USD,2400,,,0,USD,0,0,USD,0,,,,7014X000002exhJ,7014X000002exhJ
file3.csv,4/4/24,LatAmENT,Colombia,LATAM_COL_BAQ_EVENT_Catawhiskey_AUG2024,"Camila Rodriguez","Seminar / Conference",,,"Lead Generation",25,0,4/1/24,8/14/24,"Cloud IT; Networking & Connectivity; Security",Planned,USD,1200,,,0,USD,0,0,USD,0,,,,7014X000002expm,7014X000002expm
file3.csv,4/4/24,LatAmENT,Colombia,LATAM_COL_BOG_EVENT_BreakfastMeetings_2024,"Camila Rodriguez","Seminar / Conference",,,"Lead Generation",20,0,4/1/24,4/18/24,"Cloud IT; Networking & Connectivity; Security",Planned,USD,6000,,,0,USD,0,0,USD,0,,,,7014X000002exhn,7014X000002exhn
file3.csv,4/4/24,LatAmENT,Colombia,COL_Event_Healthcare_Ent_Feb2023,"Camila Rodriguez","Seminar / Conference",Event,Physical,"Lead Generation",25,0,1/22/23,2/16/23,"Security; It Solution; Networking",Completed,USD,3000,USD,3500,3,USD,33396,0,USD,0,USD,2090,-100%,7014X000001ykqX,7014X000001ykqX
file3.csv,4/4/24,Networks,Colombia,NETWORKS_COL_VEN_FITELVEN_SEP_2023,"Camila Rodriguez",Tradeshow,Event,Physical,Other,0,0,9/11/23,9/20/23,Networking,Completed,USD,5000,USD,10000,4,USD,6720000,3,USD,600000,USD,4575,13015%,7014X0000036WTd,7014X0000036WTd
