"Opportunity Name","New MRR (converted) Currency","New MRR (converted)","Net MRR (converted) Currency","Net MRR (converted)","Net TCV (converted) Currency","Net TCV (converted)","NRR (converted) Currency","NRR (converted)","Country of Origin","Account Name","Sales Type","TransactionTypeList","Opportunity Owner","Created Date","Close Date","Primary Campaign Purpose","Campaign Type","Campaign Name","Country of Origin","Created Date","Start Date","Opportunity Owner: Manager","Reporting Business Unit","Category","Sub-Category","Stage"
"VENTO - DATA CENTER-","USD","1400.00","USD","1400.00","USD","50400.00","USD","0.00","Guatemala","VENTO GT, SOCIEDAD ANÓNIMA","New Customer","New Service","Heidy Alvarado","03-20-2023","11-06-2023","Lead Generation","Tradeshow","LATAM_GUA_Event_IntegraSponsor_Ent_Apr2023","Guatemala","04-11-2023","04-20-2023","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Closed Lost"
"HOGARES INTELIGENTES/NUEVO SERVICIO/INTERNET","USD","2000.00","USD","2000.00","USD","48000.00","USD","0.00","Guatemala","HOGARES INTELIGENTES - SOCIEDAD ANÓNIMA","Upsale/Crossale","New Service","Heidy Alvarado","05-31-2023","09-30-2024","Sales Tracking","Seminar / Conference","LATAM_GUA_Event_TransformacionDigital_Ent_May2023","Guatemala","05-11-2023","05-25-2023","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Proposal Submitted"
"CORPACAM Internet 15 Mbps para Honduras","USD","300.00","USD","300.00","USD","7200.00","USD","0.00","Guatemala","CORPACAM / CORPORACION ACERERA DE GUATEMALA / ACEROS SUAREZ / HIERRO DEL RAYO","New Customer","New Service","Jose DeLeon","02-09-2023","03-24-2023","Lead Generation","Telemarketing","LATAM_GUA_OutboundInsideSales_ENT_2023","Guatemala","01-06-2023","01-06-2023","Barbara Paola Aguilar","LatAmENT","Telesales","","Closed Lost"
"Spectrum - Migracion a Hana Colombia 2023","USD","10000.00","USD","10000.00","USD","240000.00","USD","0.00","Guatemala","SPECTRUM SOCIEDAD ANONIMA","Upsale/Crossale","New Service","Miriam Rosales","11-16-2022","07-05-2023","Sales Tracking","One-to-One Sessions","LATAM_GUA_Event_reupyramid_Ent_May2023","Guatemala","05-16-2023","05-12-2023","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Closed Lost"
"Spectrum - New Tenant 2 VMs 2023","USD","1000.00","USD","1000.00","USD","36000.00","USD","0.00","Guatemala","SPECTRUM SOCIEDAD ANONIMA","Upsale","New Service","Miriam Rosales","05-09-2023","05-19-2023","Sales Tracking","One-to-One Sessions","LATAM_GUA_Event_reupyramid_Ent_May2023","Guatemala","05-16-2023","05-12-2023","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Closed Won"
"Grupo PB - Seguridad de Correo 2023","USD","300.00","USD","300.00","USD","7284.00","USD","84.00","Guatemala","Global Tech","New Customer","New Service","Miriam Rosales","01-23-2023","05-02-2023","Lead Generation","Telemarketing","LATAM_GUA_OutboundInsideSales_ENT_2023","Guatemala","01-06-2023","01-06-2023","Barbara Paola Aguilar","LatAmENT","Telesales","","Closed Lost"
"FICREDIT- CONECTIVIDAD - INTERNET- 40 MBPS","USD","320.00","USD","320.00","USD","7680.00","USD","0.00","Guatemala","MICROFINANCIERA DE AHORROS Y CREDITOS EMPRESARIAL S.A.","New Customer","New Service","Heidy Alvarado","04-29-2023","11-28-2024","Lead Generation","Telemarketing","LATAM_GUA_OutboundInsideSales_ENT_2023","Guatemala","01-06-2023","01-06-2023","Barbara Paola Aguilar","LatAmENT","Telesales","","Proposal Submitted"
"FICREDIT- IaSS -","USD","180.00","USD","180.00","USD","6480.00","USD","0.00","Guatemala","MICROFINANCIERA DE AHORROS Y CREDITOS EMPRESARIAL S.A.","New Customer","New Service","Heidy Alvarado","07-31-2023","10-31-2024","Sales Tracking","Seminar / Conference","LATAM_GUA_Event_DesayunosTecnologicos_Ago2023","Guatemala","08-04-2023","08-01-2023","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Proposal Submitted"
"Inmobiliaria Majadas - Internet 150 Mbps","USD","870.00","USD","870.00","USD","31320.00","USD","0.00","Guatemala","INMOBILIARIA LAS MAJADAS, SOCIEDAD ANONIMA","New Customer","New Service","Miriam Rosales","04-25-2023","05-18-2023","Sales Tracking","One-to-One Sessions","LATAM_GUA_Event_OnetoOne_Ent_2023","Guatemala","01-03-2023","01-03-2023","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Closed Won"
"DROGUERIA - DATA CENTER-","USD","3700.00","USD","3700.00","USD","133200.00","USD","0.00","Guatemala","Droguería Americana, S.A.","New Customer","New Service","Heidy Alvarado","09-13-2022","07-19-2024","Lead Generation","Tradeshow","LATAM_GUA_Event_IntegraSponsor_Ent_Apr2023","Guatemala","04-11-2023","04-20-2023","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Solution Design"
"DASA- FORTIMAIL-","USD","700.00","USD","700.00","USD","25200.00","USD","0.00","Guatemala","Droguería Americana, S.A.","New Customer","New Service","Heidy Alvarado","07-12-2024","10-31-2024","Sales Tracking","Advertisement","LATAM_Gua_Event_Boxes And Security Fabric_Ent_Jul2024","Guatemala","03-01-2024","07-11-2024","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Solution Design"
"DASA- OFFICE 365 -","USD","1200.00","USD","1200.00","USD","14400.00","USD","0.00","Guatemala","Droguería Americana, S.A.","New Customer","New Service","Heidy Alvarado","07-25-2024","09-30-2024","Sales Tracking","Advertisement","LATAM_Reg_Event_DataCenterSecurity Summit_Ent_Jun2024","Latam Region","05-08-2024","06-05-2024","Barbara Paola Aguilar","LatAmRegional","Event","Special Event","Solution Design"
"PANTALEON- SIEM -","USD","5000.00","USD","5000.00","USD","120750.00","USD","750.00","Guatemala","PANTALEON SOCIEDAD ANONIMA","Upsale/Crossale","New Service","Heidy Alvarado","05-12-2023","02-19-2024","Sales Tracking","Seminar / Conference","LATAM_GUA_Event_LogWars_Ent_Mar2023","Guatemala","02-09-2023","03-09-2023","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Closed Lost"
